feed_id,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position
1003520,628,Darragh,Joyce,STK,DEF,NA,7,NA,NA,53,53,53,206700,NA,NA,NA,NA,NA,NA
992644,384,Braydon,Preuss,GWS,RUC,NA,7,NA,109,109.25,109.333,109.25,367700,5535,We're the Millers,Paul,TRUE,scoring,RUC
298417,7,Ben,Davis,ADE,DEF,FWD,7,NA,NA,0,0,0,204500,NA,NA,NA,NA,NA,NA
1017126,701,Sam,Darcy,WBD,DEF,FWD,7,NA,NA,0,0,0,202800,NA,NA,NA,NA,NA,NA
1013268,276,Alex,Davies,GCS,FWD,MID,7,NA,32,45.4286,32.3333,32.4,191100,NA,NA,NA,NA,NA,NA
992472,111,Oscar,McDonald,CAR,FWD,NA,7,NA,NA,55.5,55.5,55.5,201900,NA,NA,NA,NA,NA,NA
1013611,249,Sam,Sturt,FRE,FWD,NA,7,NA,NA,0,0,0,201400,NA,NA,NA,NA,NA,NA
1012852,500,Charlie,Lazzaro,NTH,FWD,MID,7,NA,NA,31,31,31,201400,NA,NA,NA,NA,NA,NA
293603,550,Sam,Mayes,PTA,FWD,NA,7,NA,NA,36,36,36,201400,NA,NA,NA,NA,NA,NA
993806,478,Sam,Weideman,MEL,FWD,NA,7,NA,67,57.4,56,57.4,245200,NA,NA,NA,NA,NA,NA
1012857,148,Jack,Ginnivan,COL,FWD,NA,7,NA,93,76.5,77.6667,79,319300,NA,NA,NA,NA,NA,NA
1012409,120,Luke,Parks,CAR,DEF,NA,7,NA,NA,42,42,42,199600,NA,NA,NA,NA,NA,NA
993797,176,Tom,Wilson,COL,DEF,NA,7,NA,NA,54.5,54.5,54.5,199600,NA,NA,NA,NA,NA,NA
998327,497,Kyron,Hayden,NTH,DEF,NA,7,NA,NA,0,0,0,199600,NA,NA,NA,NA,NA,NA
1009226,578,Thomson,Dow,RIC,FWD,MID,7,NA,NA,59.8,50,59.8,283300,NA,NA,NA,NA,NA,NA
1023266,359,Finn,Callaghan,GWS,MID,NA,7,NA,63,62.3333,62.3333,62.3333,230400,NA,NA,NA,NA,NA,NA
997254,157,Nathan,Kreuger,COL,DEF,NA,7,NA,NA,43.6667,43.6667,43.6667,205300,NA,NA,NA,NA,NA,NA
997842,675,Colin,O'Riordan,SYD,DEF,NA,7,NA,NA,0,0,0,198100,NA,NA,NA,NA,NA,NA
1023261,143,Nick,Daicos,COL,DEF,MID,7,NA,75,83.4286,72.3333,86.6,379600,10883,Love is Hind,Lester,TRUE,scoring,DEF
1007099,81,Harry,Sharp,BRL,MID,NA,7,NA,NA,23.5,23.5,23.5,193200,NA,NA,NA,NA,NA,NA
1002231,785,Patrick,Naish,WCE,FWD,MID,7,NA,72,74.2857,68,73.4,341200,NA,NA,NA,NA,NA,NA
1017396,263,Mac,Andrew,GCS,RUC,NA,7,NA,NA,0,0,0,189300,NA,NA,NA,NA,NA,NA
999309,14,Jackson,Hately,ADE,MID,NA,7,NA,33,32.5,32.5,32.5,188700,NA,NA,NA,NA,NA,NA
296211,688,Lewis,Taylor,SYD,MID,FWD,7,NA,NA,0,0,0,188400,NA,NA,NA,NA,NA,NA
1006127,734,Rhylee,West,WBD,FWD,NA,7,NA,NA,0,0,0,187800,NA,NA,NA,NA,NA,NA
1004880,682,Ben,Ronke,SYD,FWD,NA,7,NA,49,61.8,72.6667,61.8,298200,NA,NA,NA,NA,NA,NA
1017051,32,Joshua,Rachele,ADE,MID,FWD,7,NA,46,64,43.3333,54.4,273300,NA,NA,NA,NA,NA,NA
1014038,356,Callum M.,Brown,GWS,DEF,FWD,7,NA,NA,0,0,0,182900,NA,NA,NA,NA,NA,NA
1015862,389,Conor,Stone,GWS,FWD,MID,7,NA,NA,0,0,0,181400,NA,NA,NA,NA,NA,NA
1004863,16,Mitchell,Hinge,ADE,DEF,NA,7,NA,NA,65.5,70.6667,65.5,266700,NA,NA,NA,NA,NA,NA
1017110,434,Josh,Ward,HAW,MID,NA,7,NA,NA,49.1667,50.6667,51.8,236800,NA,NA,NA,NA,NA,NA
1003546,471,Joel,Smith,MEL,DEF,NA,7,NA,40,50.2,50.3333,50.2,233100,NA,NA,NA,NA,NA,NA
1007238,388,Jake,Stein,GWS,DEF,NA,7,NA,NA,49.75,45,49.75,213900,NA,NA,NA,NA,NA,NA
290199,444,Majak,Daw,MEL,DEF,RUC,7,NA,NA,0,0,0,176400,NA,NA,NA,NA,NA,NA
1020594,221,Jye,Amiss,FRE,FWD,NA,7,NA,NA,0,0,0,175800,NA,NA,NA,NA,NA,NA
1012817,208,Zach,Reid,ESS,DEF,NA,7,NA,60,60,60,60,173100,NA,NA,NA,NA,NA,NA
1006100,51,Thomas,Berry,BRL,FWD,NA,7,NA,NA,0,0,0,171500,NA,NA,NA,NA,NA,NA
1005150,409,Emerson,Jeka,HAW,FWD,NA,7,NA,NA,0,0,0,171500,NA,NA,NA,NA,NA,NA
1017059,580,Joshua,Gibcus,RIC,DEF,NA,7,NA,79,66,76.6667,68,293300,NA,NA,NA,NA,NA,NA
1004848,687,Dylan,Stephens,SYD,MID,NA,7,NA,NA,59,59,59,202300,NA,NA,NA,NA,NA,NA
1020250,233,Neil,Erasmus,FRE,MID,NA,7,NA,NA,64,64,64,166800,NA,NA,NA,NA,NA,NA
1011954,179,Nick,Bryan,ESS,RUC,NA,7,NA,NA,0,0,0,166600,NA,NA,NA,NA,NA,NA
1015507,644,Nasiah,Wanganeen-Milera,STK,DEF,MID,7,NA,85,52.6667,56.3333,52.6,230100,NA,NA,NA,NA,NA,NA
1009201,21,Fischer,Mcasey,ADE,DEF,NA,7,NA,NA,0,0,0,161600,NA,NA,NA,NA,NA,NA
