id,feed_id,player_name,last_name,team,pos,avg,avg3,avg5,Median,user_team_id,user,Bye,,user_team_id,,,team,
739,990290,T.Barrass,Barrass,WCE,DEF,78.5,105,87.2,81,716,Garter,14,,,,,,
283,1004095,J.Lukosius,Lukosius,GCS,DEF/FWD,68.6667,49.3333,61.2,81,,,14,,,,,,
721,1002404,A.Naughton,Naughton,WBD,FWD,88.6667,99.6667,98.2,81,717,Lester,15,,,,,,
64,293716,J.Lyons,Lyons,BRL,MID,76,61,61,81,,,12,,,,,,
503,1024272,C.McKercher,McKercher,NTH,DEF/MID,75.4444,109.333,73.6,81,717,Lester,12,,,,,,
719,295467,J.Macrae,Macrae,WBD,MID/FWD,78.8571,82,91.2,80,713,Pmac,15,,,,,,
348,1009253,L.Ash,Ash,GWS,DEF,81,74.3333,89.2,80,,,12,,,,,,
147,291313,J.Howe,Howe,COL,DEF,69.375,64.3333,69.2,80,,,15,,,,,,
306,1012805,T.Bruhn,Bruhn,GEE,MID,74.5714,73.6667,70.4,80,,,14,,,,,,
606,998134,J.Battle,Battle,STK,DEF,78,81.3333,69.2,80,,,15,,,,,,
337,298419,B.Parfitt,Parfitt,GEE,MID,78.4286,63,71.4,80,,,14,,,,,,
90,1002795,J.Boyd,Boyd,CAR,DEF,71.8889,67.3333,65.4,80,,,14,,,,,,
667,1013409,J.Jordon,Jordon,SYD,MID/FWD,76.2222,74.3333,73.6,80,718,Chief,12,,,,,,
685,1012210,M.Roberts,Roberts,SYD,DEF/MID,79,59,74.8,80,,,12,,,,,,
384,1005247,S.Taylor,Taylor,GWS,DEF,79.1429,58.3333,77.2,79.5,718,Chief,12,,,,,,
566,993993,S.Bolton,Bolton,RIC,MID/FWD,84.5556,54,84.8,79,714,Richo,15,,,,,,
725,1008280,E.Richards,Richards,WBD,DEF,92.25,108,99.4,79,720,Jmerc,15,,,,,,
52,294518,J.Daniher,Daniher,BRL,FWD,82.3333,81.3333,76.4,79,714,Richo,12,,,,,,
649,291776,T.Adams,Adams,SYD,MID/FWD,75.8,65,75.8,79,720,Jmerc,12,,,,,,
517,1023477,G.Wardlaw,Wardlaw,NTH,MID,80.25,90.3333,78.4,79,720,Jmerc,12,,,,,,
195,1002143,B.McKay,McKay,ESS,DEF,72.4444,70,71,79,,,14,,,,,,
79,1007099,H.Sharp,Sharp,BRL,MID,61,61,61,79,,,12,,,,,,
27,297523,R.O'Brien,O'Brien,ADE,RUC,82,79.3333,85,78.5,714,Richo,15,,,,,,
127,993832,J.Weitering,Weitering,CAR,DEF,80.1429,88,75.8,78.5,,,14,,,,,,
266,295446,S.Collins,Collins,GCS,DEF,80.1111,74.6667,73,78.5,,,14,,,,,,
405,296254,J.Impey,Impey,HAW,DEF,83.4444,87,87.2,78,714,Richo,15,,,,,,
249,1012819,J.Treacy,Treacy,FRE,FWD,77.5556,71,87.4,78,716,Garter,13,,,,,,
770,1023492,H.Reid,Reid,WCE,MID/FWD,82.375,88.3333,92.8,78,715,Melons,14,,,,,,
160,298288,D.Moore,Moore,COL,DEF,78.8889,90.6667,83.6,77.5,,,15,,,,,,
368,296324,J.Hogan,Hogan,GWS,FWD,88.8889,65.3333,74,77.5,714,Richo,12,,,,,,
151,1003130,P.Lipinski,Lipinski,COL,FWD/MID,81.2222,83.6667,84.2,77.5,715,Melons,15,,,,,,
430,1027935,J.Weddle,Weddle,HAW,DEF,72.7778,66,73,77.5,,,15,,,,,,
68,1005521,O.McInerney,McInerney,BRL,RUC,83.5,82,82,77,713,Pmac,12,,,,,,
585,290847,D.Martin,Martin,RIC,FWD,71.5714,68.6667,69.4,77,719,Kappaz,15,,,,,,
312,270917,P.Dangerfield,Dangerfield,GEE,MID,87.5,72,87.5,77,,,14,,,,,,
567,295203,N.Broad,Broad,RIC,DEF,69.5,70.3333,75,77,,,15,,,,,,
84,1017067,D.Wilmot,Wilmot,BRL,DEF,75.6667,65.6667,70.8,77,,,12,,,,,,
523,250365,T.Boak,Boak,PTA,MID,73.7143,82.6667,72.6,77,,,13,,,,,,
628,1006143,M.King,King,STK,FWD,61.3333,22,50.6,77,,,15,,,,,,
159,291856,T.Mitchell,Mitchell,COL,MID,81.5,87,86,76,715,Melons,15,,,,,,
417,1007124,C.Nash,Nash,HAW,MID,78.4444,80.6667,78.2,76,718,Chief,15,,,,,,
199,1015873,A.Perkins,Perkins,ESS,FWD/MID,85,82.3333,77.2,76,720,Jmerc,14,,,,,,
647,1023270,M.Windhager,Windhager,STK,DEF/MID,81.125,86.6667,85.4,76,717,Lester,15,,,,,,
45,1005053,N.Answerth,Answerth,BRL,DEF/FWD,63.8571,63.6667,66,76,,,12,,,,,,
418,1020895,J.Newcombe,Newcombe,HAW,MID,90.4444,99.3333,97.6,75.5,720,Jmerc,15,,,,,,
439,1005330,K.Chandler,Chandler,MEL,FWD,67.6667,51.6667,61.2,75.5,,,14,,,,,,
239,298409,A.Pearce,Pearce,FRE,DEF,72.5556,65.6667,75,75.5,,,13,,,,,,
454,1017703,J.McVee,McVee,MEL,DEF,73.1111,62,72.6,75.5,,,14,,,,,,
214,998180,B.Banfield,Banfield,FRE,FWD,73,68,66.8,75.5,,,13,,,,,,
139,994185,J.De Goey,De Goey,COL,MID,78.7143,106,82.4,75,717,Lester,15,,,,,,
23,990882,W.Milera,Milera,ADE,DEF,67.3333,67.3333,67.3333,75,,,15,,,,,,
