"season","round","fixture","user_team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt","sim_pos","sim_finals","sim_gfinal","sim_champ","sim_spoon"
2016,9,1,,"Bontback Mountain","Anthony",1535,,"Cotch Me If Ya Can","Jordan",1586,-51,0,0,1,6,16,4,0,5,14743,14924,98.79,4.91,0.41233,0.21346,0.11055,0.12422
2016,9,2,,"We're Not Gwilty","James",1489,,"Game of Jones","Mark",1739,-250,0,0,1,7,12,3,0,6,14431,14553,99.16,6.03,0.21378,0.10768,0.05382,0.28084
2016,9,1,,"Cotch Me If Ya Can","Jordan",1586,,"Bontback Mountain","Anthony",1535,51,1,0,0,8,12,3,0,6,13809,14832,93.1,6.3,0.17352,0.07769,0.03589,0.34623
2016,10,2,,"Gawn Girl","Simon",1802,,"Steele Rebuilding","Lester",1436,366,1,0,0,1,28,7,0,3,16340,15906,102.73,2.56,0.85197,0.4186,0.20173,0.00957
2016,10,1,,"Game of Jones","Mark",1655,,"Bontback Mountain","Anthony",1327,328,1,0,0,2,24,6,0,4,16665,15766,105.7,3.28,0.73611,0.38914,0.20532,0.02228
2016,10,3,,"Such is Fyfe","Paul",1684,,"Cotch Me If Ya Can","Jordan",1566,118,1,0,0,3,24,6,0,4,16433,15932,103.14,3.39,0.71601,0.36167,0.18019,0.02416
2016,10,4,,"Brave Hartung","Luke",1645,,"We're Not Gwilty","James",1803,-158,0,0,1,4,20,5,0,5,16243,16186,100.35,4.48,0.5012,0.24761,0.1221,0.07605
2016,10,2,,"Steele Rebuilding","Lester",1436,,"Gawn Girl","Simon",1802,-366,0,0,1,5,20,5,0,5,16167,16444,98.32,4.54,0.49378,0.24142,0.11801,0.08259
2016,10,4,,"We're Not Gwilty","James",1803,,"Brave Hartung","Luke",1645,158,1,0,0,6,16,4,0,6,16234,16198,100.22,5.46,0.30451,0.15262,0.07864,0.16489
2016,10,1,,"Bontback Mountain","Anthony",1327,,"Game of Jones","Mark",1655,-328,0,0,1,7,16,4,0,6,16070,16579,96.93,5.55,0.28947,0.14026,0.07143,0.17596
2016,10,3,,"Cotch Me If Ya Can","Jordan",1566,,"Such is Fyfe","Paul",1684,-118,0,0,1,8,12,3,0,7,15375,16516,93.09,6.74,0.10695,0.04868,0.02258,0.4445
2016,11,3,,"Gawn Girl","Simon",1580,,"Such is Fyfe","Paul",1525,55,1,0,0,1,32,8,0,3,17920,17431,102.81,2.21,0.91028,0.43945,0.20634,0.00265
2016,11,2,,"Game of Jones","Mark",1761,,"Cotch Me If Ya Can","Jordan",1512,249,1,0,0,2,28,7,0,4,18426,17278,106.64,2.78,0.83287,0.44898,0.2415,0.00586
2016,11,3,,"Such is Fyfe","Paul",1525,,"Gawn Girl","Simon",1580,-55,0,0,1,3,24,6,0,5,17958,17512,102.55,3.96,0.61594,0.30508,0.15252,0.03065
