SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS,SC COACH
2017,15,Show Me The Mundy,J.Watson,ESS,MID,97,127,PMAC
2017,15,Show Me The Mundy,T.Bellchambers,ESS,RUC,84,57,PMAC
2017,15,Show Me The Mundy,D.Mundy,FRE,MID,78,95,PMAC
2017,15,Show Me The Mundy,K.Lambert,RIC,FWD,101,119,PMAC
2017,15,Show Me The Mundy,S.Ross,STK,MID,106,109,PMAC
2017,15,Show Me The Mundy,J.Steele,STK,FWD,91,106,PMAC
2017,15,Show Me The Mundy,A.Gaff,WCE,MID,98,128,PMAC
2017,15,Show Me The Mundy,M.Boyd,WBD,BEN,67,0,PMAC
2017,15,Show Me The Mundy,T.Greene,GWS,BEN,91,0,PMAC
2017,15,Show Me The Mundy,C.Hooker,ESS,BEN,93,70,PMAC
2017,15,Show Me The Mundy,S.Thompson,ADE,BEN,80,0,PMAC
2017,16,Show Me The Mundy,L.Hodge,HAW,DEF,91,52,PMAC
2017,16,Show Me The Mundy,J.Roughead,HAW,FWD,103,88,PMAC
2017,16,Show Me The Mundy,J.Macrae,WBD,FWD,99,118,PMAC
2017,16,Show Me The Mundy,R.Bastinac,BRL,MID,93,73,PMAC
2017,16,Show Me The Mundy,S.Docherty,CAR,DEF,132,142,PMAC
2017,16,Show Me The Mundy,Z.Jones,SYD,DEF,76,49,PMAC
2017,16,Show Me The Mundy,M.Duncan,GEE,MID,102,144,PMAC
2017,16,Show Me The Mundy,D.Shiel,GWS,MID,118,106,PMAC
2017,16,Show Me The Mundy,J.Pittard,PTA,DEF,70,82,PMAC
2017,16,Show Me The Mundy,P.Ryder,PTA,FWD,118,129,PMAC
2017,16,Show Me The Mundy,J.Harbrow,GCS,DEF,94,56,PMAC
2017,16,Show Me The Mundy,J.Watson,ESS,MID,96,74,PMAC
2017,16,Show Me The Mundy,T.Bellchambers,ESS,RUC,85,95,PMAC
2017,16,Show Me The Mundy,D.Mundy,FRE,MID,78,0,PMAC
2017,16,Show Me The Mundy,K.Lambert,RIC,FWD,107,102,PMAC
2017,16,Show Me The Mundy,S.Ross,STK,MID,118,151,PMAC
2017,16,Show Me The Mundy,J.Steele,STK,FWD,83,74,PMAC
2017,16,Show Me The Mundy,A.Gaff,WCE,MID,95,91,PMAC
2017,16,Show Me The Mundy,M.Boyd,WBD,BEN,69,70,PMAC
2017,16,Show Me The Mundy,J.Elliott,COL,BEN,72,75,PMAC
2017,16,Show Me The Mundy,J.P.Kennedy,SYD,BEN,111,0,PMAC
2017,16,Show Me The Mundy,T.Greene,GWS,BEN,91,0,PMAC
2017,17,Show Me The Mundy,L.Hodge,HAW,DEF,88,94,PMAC
2017,17,Show Me The Mundy,J.Macrae,WBD,FWD,99,124,PMAC
2017,17,Show Me The Mundy,S.Docherty,CAR,DEF,125,106,PMAC
2017,17,Show Me The Mundy,Z.Jones,SYD,DEF,73,87,PMAC
