feed_id,season,round,pts,median,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position,na_flg,na_streak,pts_adj,median_adj,median_fnl,n,scr,pos_scr,scr_pos,weight,scr_wgt,rank,x
270917,2022,2,59,97,316,Patrick,Dangerfield,GEE,MID,,,59,107,107,107,567800,14003,Bring Me To Fyfe,Luke,TRUE,scoring,MID,FALSE,13,59,97,97,1,0.216,-0.225,MID,0.391,0.04356899999999998,73,SC RELEVANT
270963,2022,2,100,97,37,Rory,Sloane,ADE,MID,,,100,99,99,99,528000,11125,No Way Sloane,Simon,TRUE,scoring,MID,FALSE,11,100,97,97,1,0.216,-0.225,MID,0.391,0.04356899999999998,74,SC RELEVANT
292128,2022,2,,99,775,Elliot,Yeo,WCE,MID,,,,0,0,0,470800,,,,,,,TRUE,2,74.5,97,97,1,0.216,-0.225,MID,0.391,0.04356899999999998,75,SC RELEVANT
298421,2022,2,51,92,620,Jade,Gresham,STK,MID,FWD,,51,80,80,80,299000,5535,We're the Millers,Paul,TRUE,scoring,FWD,FALSE,2,51,67.5,92,1,-0.18,0.673,FWD,0.261,0.04263300000000003,76,SC RELEVANT
297523,2022,2,110,95,29,Reilly,O'Brien,ADE,RUC,,,110,101,101,101,520600,14003,Bring Me To Fyfe,Luke,TRUE,scoring,RUC,FALSE,2,110,93,95,1,0.058,-0.589,RUC,0.087,0.0017110000000000111,77,SC RELEVANT
291351,2022,2,91,91,404,Jack,Gunston,HAW,FWD,,,91,97.5,97.5,97.5,355200,10836,Cumming for the DB,Anthony,TRUE,scoring,FWD,FALSE,2,91,70,91,1,-0.259,0.569,FWD,0.261,-0.04289200000000001,78,SC RELEVANT
294859,2022,2,117,93,756,Jeremy,McGovern,WCE,DEF,,,117,116,116,116,481900,14003,Bring Me To Fyfe,Luke,TRUE,scoring,DEF,FALSE,2,117,91,93,1,-0.101,0.034,DEF,0.261,-0.06576499999999999,79,SC RELEVANT
992010,2022,2,,100,161,Brayden,Maynard,COL,DEF,,,,0,0,0,502500,63015,Wolf of Walsh St,Jordan,FALSE,nonscoring,DEF,TRUE,2,74.5,93,93,1,-0.101,0.034,DEF,0.261,-0.06576499999999999,80,SC RELEVANT
998205,2022,2,87,93,383,Harry,Perryman,GWS,DEF,,,87,98,98,98,497700,14003,Bring Me To Fyfe,Luke,TRUE,scoring,DEF,FALSE,12,87,93,93,1,-0.101,0.034,DEF,0.261,-0.06576499999999999,81,SC RELEVANT
298174,2022,2,99,94,590,Toby,Nankervis,RIC,RUC,,,99,78.5,78.5,78.5,509300,10883,Love is Hind,Lester,TRUE,scoring,RUC,FALSE,2,99,76,94,1,-0.021,-0.697,RUC,0.087,-0.079812,82,SC RELEVANT
250321,2022,2,66,95,339,Joel,Selwood,GEE,MID,,,66,74.5,74.5,74.5,549000,10834,Dunkley's Donuts,Mark,TRUE,scoring,MID,FALSE,8,66,88,95,1,0.058,-0.378,MID,0.391,-0.11247600000000002,83,SC RELEVANT
1000978,2022,2,116,95,69,Hugh,McCluggage,BRL,MID,,,116,92,92,92,544100,10882,Take Me To Parish,James,TRUE,scoring,MID,FALSE,12,116,95,95,1,0.058,-0.378,MID,0.391,-0.11247600000000002,84,SC RELEVANT
1006314,2022,2,103,90,420,Dylan,Moore,HAW,FWD,,,103,96.5,96.5,96.5,416700,11125,No Way Sloane,Simon,FALSE,nonscoring,FWD,FALSE,2,103,90,90,1,-0.338,0.464,FWD,0.261,-0.128678,85,SC RELEVANT
240283,2022,2,88,92,750,Shannon,Hurn,WCE,DEF,,,88,87,87,87,494600,10883,Love is Hind,Lester,TRUE,scoring,DEF,FALSE,2,88,88,92,1,-0.18,-0.064,DEF,0.261,-0.149724,86,SC RELEVANT
281085,2022,2,108,92,457,Steven,May,MEL,DEF,,,108,92,92,92,492300,10882,Take Me To Parish,James,TRUE,scoring,DEF,FALSE,3,108,90,92,1,-0.18,-0.064,DEF,0.261,-0.149724,87,SC RELEVANT
998659,2022,2,156,92,246,Luke,Ryan,FRE,DEF,,,156,113,113,113,540300,10834,Dunkley's Donuts,Mark,TRUE,scoring,DEF,FALSE,11,156,92,92,1,-0.18,-0.064,DEF,0.261,-0.149724,88,SC RELEVANT
298289,2022,2,120,89,217,Peter,Wright,ESS,RUC,FWD,,120,90.5,90.5,90.5,447700,10834,Dunkley's Donuts,Mark,TRUE,scoring,FWD,FALSE,12,120,89,89,1,-0.417,0.36,FWD,0.261,-0.21420299999999998,89,SC RELEVANT
994295,2022,2,93,91,543,Dan,Houston,PTA,DEF,,,93,118.5,118.5,118.5,467900,5535,We're the Millers,Paul,TRUE,scoring,DEF,FALSE,13,93,91,91,1,-0.259,-0.162,DEF,0.261,-0.23368300000000003,90,SC RELEVANT
280109,2022,2,101,93,392,Callan,Ward,GWS,MID,,,101,85,85,85,506200,63015,Wolf of Walsh St,Jordan,TRUE,scoring,MID,FALSE,13,101,93,93,1,-0.101,-0.531,MID,0.391,-0.26913000000000004,91,SC RELEVANT
1000972,2022,2,98,93,533,Willem,Drew,PTA,MID,,,98,82.5,82.5,82.5,472600,,,,,,,FALSE,13,98,93,93,1,-0.101,-0.531,MID,0.391,-0.26913000000000004,92,SC RELEVANT
294518,2022,2,82,88,56,Joe,Daniher,BRL,FWD,,,82,91.5,91.5,91.5,430500,11125,No Way Sloane,Simon,TRUE,scoring,FWD,FALSE,12,82,88,88,1,-0.496,0.256,FWD,0.261,-0.299728,93,SC RELEVANT
1009399,2022,2,137,88,452,Luke,Jackson,MEL,RUC,FWD,,137,112.5,112.5,112.5,389800,10834,Dunkley's Donuts,Mark,TRUE,scoring,FWD,FALSE,11,137,88,88,1,-0.496,0.256,FWD,0.261,-0.299728,94,SC RELEVANT
1017051,2022,2,58,88,32,Joshua,Rachele,ADE,MID,FWD,,58,88,88,88,184800,10882,Take Me To Parish,James,TRUE,scoring,FWD,FALSE,2,58,88,88,1,-0.496,0.256,FWD,0.261,-0.299728,95,SC RELEVANT
1009528,2022,2,106,92,368,Tom,Green,GWS,MID,,,106,135,135,135,430000,10883,Love is Hind,Lester,TRUE,scoring,MID,FALSE,2,106,71,92,1,-0.18,-0.608,MID,0.391,-0.347348,96,SC RELEVANT
298281,2022,2,,89,456,Jake,Lever,MEL,DEF,,,,0,0,0,494800,10882,Take Me To Parish,James,FALSE,nonscoring,DEF,TRUE,2,74.5,89,89,1,-0.417,-0.358,DEF,0.261,-0.401601,97,SC RELEVANT
