"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","played","avg","avg3","avg5","price","season"
994599,554,"Riley","Bonner","PTA","DEF",,1,69,,0,0,0,0,375500,"2020"
250417,12,"Bryce","Gibbs","ADE","MID",,1,69,16,1,16,16,16,375100,"2020"
296225,803,"Willie","Rioli","WCE","FWD",,1,70,,0,0,0,0,374700,"2020"
250395,630,"Jack","Riewoldt","RIC","FWD",,1,65,74,1,74,74,74,374100,"2020"
998103,691,"Oliver","Florent","SYD","MID",,1,57,99,1,99,99,99,373400,"2020"
996731,96,"Charlie","Curnow","CAR","FWD",,1,69,,0,0,0,0,372200,"2020"
290823,237,"Reece","Conca","FRE","MID",,1,69,88,1,88,88,88,372000,"2020"
294125,272,"Nathan","Wilson","FRE","DEF",,1,74,,0,0,0,0,372000,"2020"
294828,347,"Josh","Jenkins","GEE","FWD",,1,72,,0,0,0,0,371200,"2020"
1002770,142,"Callum L.","Brown","COL","FWD",,1,67,89,1,89,89,89,370900,"2020"
296735,520,"Aaron","Hall","NTH","MID",,1,81,54,1,54,54,54,370600,"2020"
291753,285,"Sam","Day","GCS","FWD",,1,71,32,1,32,32,32,369800,"2020"
293193,2,"Luke","Brown","ADE","DEF",,1,64,60,1,60,60,60,369300,"2020"
298289,324,"Peter","Wright","GCS","FWD",,1,59,,0,0,0,0,369300,"2020"
1005521,74,"Oscar","McInerney","BRL","RUC","FWD",1,72,39,1,39,39,39,368400,"2020"
280918,55,"Allen","Christensen","BRL","FWD",,1,77,,0,0,0,0,367800,"2020"
1002404,757,"Aaron","Naughton","WBD","FWD",,1,62,18,1,18,18,18,367800,"2020"
1000887,437,"Mitch","Lewis","HAW","FWD",,1,71,,0,0,0,0,367000,"2020"
280506,41,"Taylor","Walker","ADE","FWD",,1,70,55,1,55,55,55,365600,"2020"
1004938,352,"Gryan","Miers","GEE","FWD",,1,67,64,1,64,64,64,365600,"2020"
