SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2018,12,Danger Things,M.Robinson,BRL,BEN,101,0
2018,12,Danger Things,E.Yeo,WCE,BEN,118,0
2018,12,Danger Things,J.J.Kennedy,WCE,BEN,83,0
2018,13,Danger Things,A.Saad,ESS,DEF,96,0
2018,13,Danger Things,B.Goddard,ESS,MID,76,0
2018,13,Danger Things,J.Westhoff,PTA,FWD,97,114
2018,13,Danger Things,P.Dangerfield,GEE,MID,106,102
2018,13,Danger Things,T.Stewart,GEE,DEF,96,83
2018,13,Danger Things,J.Murdoch,GEE,FWD,72,30
2018,13,Danger Things,T.Cotchin,RIC,MID,89,71
2018,13,Danger Things,J.Caddy,RIC,FWD,105,68
2018,13,Danger Things,A.Treloar,COL,MID,109,0
2018,13,Danger Things,E.Langdon,FRE,FWD,74,61
2018,13,Danger Things,P.Seedsman,ADE,DEF,87,49
2018,13,Danger Things,B.Hardwick,HAW,DEF,80,70
2018,13,Danger Things,Z.Jones,SYD,MID,78,86
2018,13,Danger Things,C.Sinclair,SYD,RUC,91,90
2018,13,Danger Things,E.Yeo,WCE,DEF,126,144
2018,13,Danger Things,J.J.Kennedy,WCE,FWD,80,48
2018,13,Danger Things,S.Higgins,NTH,MID,104,0
2018,13,Danger Things,J.Steven,STK,MID,92,108
2018,13,Danger Things,H.Andrews,BRL,BEN,98,0
2018,13,Danger Things,M.Robinson,BRL,BEN,101,0
2018,13,Danger Things,L.Whitfield,GWS,BEN,96,0
2018,13,Danger Things,M.de Boer,GWS,BEN,86,0
2018,14,Danger Things,A.Saad,ESS,DEF,100,103
2018,14,Danger Things,J.Westhoff,PTA,FWD,95,106
2018,14,Danger Things,P.Dangerfield,GEE,MID,106,0
2018,14,Danger Things,D.Swallow,GCS,MID,87,87
2018,14,Danger Things,J.Caddy,RIC,FWD,105,0
2018,14,Danger Things,T.Cotchin,RIC,MID,89,0
2018,14,Danger Things,J.Dunkley,WBD,FWD,61,71
2018,14,Danger Things,A.Treloar,COL,MID,108,95
2018,14,Danger Things,M.Scharenberg,COL,DEF,73,103
2018,14,Danger Things,B.Hardwick,HAW,DEF,81,75
2018,14,Danger Things,B.McEvoy,HAW,RUC,83,90
2018,14,Danger Things,H.Andrews,BRL,DEF,83,22
2018,14,Danger Things,M.Robinson,BRL,FWD,101,0
2018,14,Danger Things,E.Yeo,WCE,DEF,126,113
2018,14,Danger Things,L.Whitfield,GWS,MID,96,97
2018,14,Danger Things,J.Hopper,GWS,MID,90,63
2018,14,Danger Things,M.de Boer,GWS,FWD,88,90
2018,14,Danger Things,S.Higgins,NTH,MID,107,123
2018,14,Danger Things,T.Stewart,GEE,BEN,96,0
2018,14,Danger Things,P.Seedsman,ADE,BEN,87,0
2018,14,Danger Things,C.Sinclair,SYD,BEN,91,0
2018,14,Danger Things,J.Steven,STK,BEN,92,0
2018,15,Danger Things,A.Saad,ESS,DEF,95,64
2018,15,Danger Things,J.Westhoff,PTA,FWD,101,120
2018,15,Danger Things,P.Dangerfield,GEE,MID,106,118
2018,15,Danger Things,T.Stewart,GEE,DEF,105,104
2018,15,Danger Things,D.Swallow,GCS,MID,91,114
2018,15,Danger Things,T.Cotchin,RIC,MID,94,109
2018,15,Danger Things,J.Caddy,RIC,FWD,94,54
2018,15,Danger Things,M.Scharenberg,COL,DEF,73,92
2018,15,Danger Things,P.Seedsman,ADE,DEF,90,82
2018,15,Danger Things,G.Hewett,SYD,FWD,69,81
2018,15,Danger Things,C.Sinclair,SYD,RUC,95,91
2018,15,Danger Things,M.Robinson,BRL,FWD,98,83
2018,15,Danger Things,E.Yeo,WCE,DEF,122,94
2018,15,Danger Things,M.de Boer,GWS,FWD,78,64
2018,15,Danger Things,L.Whitfield,GWS,MID,97,85
2018,15,Danger Things,S.Higgins,NTH,MID,114,113
2018,15,Danger Things,L.Dunstan,STK,MID,73,65
2018,15,Danger Things,J.Steven,STK,MID,91,99
2018,15,Danger Things,D.Zaharakis,ESS,BEN,92,0
2018,15,Danger Things,S.Reid,SYD,BEN,67,0
2018,15,Danger Things,H.Andrews,BRL,BEN,83,0
2018,15,Danger Things,B.Deledio,GWS,BEN,97,0
2018,16,Danger Things,A.Saad,ESS,DEF,85,54
2018,16,Danger Things,J.Westhoff,PTA,FWD,106,96
2018,16,Danger Things,P.Dangerfield,GEE,MID,101,104
2018,16,Danger Things,T.Stewart,GEE,DEF,97,95
2018,16,Danger Things,D.Swallow,GCS,MID,88,71
2018,16,Danger Things,J.Caddy,RIC,FWD,79,80
2018,16,Danger Things,S.Grigg,RIC,MID,88,101
2018,16,Danger Things,T.Cotchin,RIC,MID,88,96
