"id","feed_id","player_name","team","pos","avg","adp"
267,"1013268","A.Davies","GCS","MID/FWD",58,321.6
494,"281091","H.Greenwood","NTH","MID",60,322.9
98,"993795","D.Cuningham","CAR","FWD",62,323.5
58,"993953","E.Hipwood","BRL","FWD",62,324.2
119,"1017700","J.Motlop","CAR","FWD",55,324.5
591,"993771","M.Pickett","RIC","MID/FWD",58,324.9
340,"997230","T.Stengle","GEE","FWD",58,330.1
454,"1017703","J.McVee","MEL","DEF",57,332.4
431,"291962","C.Wingard","HAW","FWD",54,333.2
692,"1006232","S.Wicks","SYD","FWD",59,333.3
609,"1011994","R.Byrnes","STK","MID",62,335.5
493,"1017118","J.Goater","NTH","DEF",56,335.6
146,"291720","W.Hoskin-Elliott","COL","MID",57,335.8
513,"1002240","J.Stephenson","NTH","FWD",49,335.8
772,"1004364","L.Ryan","WCE","FWD",75,338
329,"296291","J.Kolodjashnij","GEE","DEF",58,338.6
328,"1021103","M.Knevitt","GEE","MID",55,339.1
747,"290838","J.Darling","WCE","FWD",61,339.3
105,"1002228","L.Fogarty","CAR","FWD",62,340.2
714,"281078","L.Jones","WBD","DEF",59,341.4
258,"1017396","M.Andrew","GCS","DEF",55,346.5
514,"1006137","C.Taylor","NTH","MID/FWD",58,347.6
161,"1005107","N.Murphy","COL","DEF",61,349.1
66,"293581","L.McCarthy","BRL","FWD",59,349.8
43,"298437","C.Ah Chee","BRL","MID",58,349.9
237,"1013220","N.O'Driscoll","FRE","MID",50,350.6
6,"1018335","B.Cook","ADE","MID",70,350.8
539,"1011583","L.Jones","PTA","DEF",57,352
143,"991773","B.Frampton","COL","DEF",59,352.1
94,"1016268","A.Cincotta","CAR","DEF",55,352.1
734,"1006127","R.West","WBD","FWD",57,352.3
189,"297473","J.Kelly","ESS","DEF",61,353.3
56,"298211","D.Fort","BRL","RUC/FWD",54,354.5
25,"1008230","N.Murray","ADE","DEF",60,357.6
33,"1008543","H.Schoenberg","ADE","MID",53,360.1
229,"996580","E.Hughes","FRE","DEF",58,362.7
767,"1006550","J.Petruccelle","WCE","FWD",58,363.5
239,"298409","A.Pearce","FRE","DEF",59,363.7
656,"291978","H.Cunningham","SYD","DEF",60,364.8
351,"1014038","C.Brown","GWS","FWD",58,367.4
608,"992374","D.Butler","STK","FWD",58,367.6
437,"291867","B.Brown","MEL","FWD",61,368.2
287,"1021013","N.Moyle","GCS","RUC",50,369.1
582,"1006030","J.Koschitzke","RIC","FWD",58,376.9
3,"1009029","J.Borlase","ADE","DEF",58,377.1
252,"281007","M.Walters","FRE","FWD",55,377.7
696,"1000864","L.Bramble","WBD","DEF/MID",52,378.3
587,"294592","K.McIntosh","RIC","MID",55,384
81,"1002401","B.Starcevich","BRL","DEF",54,385.5
214,"998180","B.Banfield","FRE","FWD",56,388.4
453,"291533","T.McDonald","MEL","FWD",60,390.1
182,"996232","M.Guelfi","ESS","FWD",54,390.6
399,"293738","S.Frost","HAW","DEF",57,395.9
724,"1011589","C.Poulter","WBD","MID",57,396.7
73,"1002347","J.Payne","BRL","DEF",57,400.5
765,"1029416","R.Maric","WCE","FWD",55,401.9
402,"291351","J.Gunston","HAW","FWD",53,404
381,"1008123","J.Riccardi","GWS","FWD",53,404.6
546,"290527","T.McKenzie","PTA","DEF",55,406
249,"1012819","J.Treacy","FRE","FWD",57,407
727,"992048","A.Scott","WBD","MID/FWD",51,407.9
