"id","feed_id","player_name","first_name","last_name","team","pos","avg","adp"
688,"1024685","P.Snell","Patrick","Snell","SYD","DEF/FWD",0,171
677,"1003203","H.McLean","Hayden","McLean","SYD","RUC/FWD",72,171.1
357,"1002251","B.Daniels","Brent","Daniels","GWS","FWD",75,171.2
502,"296355","L.McDonald","Luke","McDonald","NTH","DEF",78,173.1
263,"1008454","C.Budarick","Connor","Budarick","GCS","DEF",77,173.1
781,"998480","L.Sullivan","Lachlan","Sullivan","COL","MID",0,173.5
265,"1013257","S.Clohesy","Sam","Clohesy","GCS","DEF",0,173.6
776,"1006114","B.Williams","Bailey J.","Williams","WCE","RUC",77,173.7
658,"998103","O.Florent","Oliver","Florent","SYD","DEF",75,174.2
299,"1023736","J.Walter","Jed","Walter","GCS","FWD",0,175.8
707,"1027704","J.Freijah","Joel","Freijah","WBD","MID/FWD",0,175.8
429,"1023473","N.Watson","Nick","Watson","HAW","MID/FWD",0,176.4
583,"293813","T.Lynch","Tom","Lynch","RIC","FWD",64,176.6
617,"1027790","H.Garcia","Hugo","Garcia","STK","MID/FWD",0,176.7
621,"1005988","L.Henry","Liam","Henry","STK","MID",72,177.9
172,"1027899","N.Caddy","Nate","Caddy","ESS","FWD",0,178
352,"1009708","J.Buckley","Jack","Buckley","GWS","DEF",79,178.2
11,"1028671","C.Edwards","Charlie","Edwards","ADE","DEF/MID",0,178.4
567,"295203","N.Broad","Nathan","Broad","RIC","DEF",80,178.6
508,"1006058","B.Scott","Bailey","Scott","NTH","MID",76,178.9
785,"1005052","E.Phillips","Ethan","Phillips","HAW","DEF",0,179
142,"293801","J.Elliott","Jamie","Elliott","COL","FWD",73,179.2
475,"1027821","C.Windsor","Caleb","Windsor","MEL","MID/FWD",0,179.3
405,"296254","J.Impey","Jarman","Impey","HAW","DEF",78,180.3
461,"1008541","K.Pickett","Kysaiah","Pickett","MEL","FWD",68,180.7
275,"1026960","W.Graham","Will","Graham","GCS","DEF/MID",0,182.2
736,"1004385","O.Allen","Oscar","Allen","WCE","FWD",70,182.5
23,"990882","W.Milera","Wayne","Milera","ADE","DEF",78,182.6
499,"1012852","C.Lazzaro","Charlie","Lazzaro","NTH","MID/FWD",36,182.6
506,"1002138","T.Pink","Toby","Pink","NTH","DEF",0,182.7
623,"295584","B.Hill","Bradley","Hill","STK","MID/FWD",68,183
507,"1011659","T.Powell","Tom","Powell","NTH","FWD",56,183.4
269,"293713","B.Ellis","Brandon","Ellis","GCS","MID",79,184
330,"993878","S.Mannagh","Shaun","Mannagh","GEE","MID/FWD",0,184.4
186,"1017088","B.Hobbs","Ben","Hobbs","ESS","MID",74,184.6
758,"994385","J.Hunt","Jayden","Hunt","WCE","DEF",76,185.1
370,"1020650","D.Jones","Darcy","Jones","GWS","FWD",0,185.4
48,"998133","J.Berry","Jarrod","Berry","BRL","MID",76,185.8
457,"296420","A.Neal-Bullen","Alex","Neal-Bullen","MEL","FWD",72,185.8
306,"1012805","T.Bruhn","Tanner","Bruhn","GEE","MID",69,186.1
115,"1000953","H.McKay","Harry","McKay","CAR","FWD",71,186.3
446,"294557","L.Hunter","Lachie","Hunter","MEL","MID",78,186.7
754,"1023025","R.Ginbey","Reuben","Ginbey","WCE","MID",63,187.6
635,"1020137","M.Phillipou","Mattaes","Phillipou","STK","FWD",51,187.9
647,"1023270","M.Windhager","Marcus","Windhager","STK","DEF/MID",58,188.5
407,"1000887","M.Lewis","Mitch","Lewis","HAW","FWD",71,189.1
356,"1001396","I.Cumming","Isaac","Cumming","GWS","DEF/MID",69,189.3
654,"1013133","B.Campbell","Braeden","Campbell","SYD","DEF/MID",69,189.5
533,"1002253","K.Farrell","Kane","Farrell","PTA","DEF",77,189.6
438,"1027949","K.Brown","Kynan","Brown","MEL","MID/FWD",0,189.8
208,"1027966","V.Visentini","Vigo","Visentini","ESS","RUC",0,190.8
520,"294469","A.Aliir","Aliir","Aliir","PTA","DEF",75,190.9
519,"998484","C.Zurhaar","Cameron","Zurhaar","NTH","FWD",69,191.6
450,"298281","J.Lever","Jake","Lever","MEL","DEF",75,193.2
428,"1017110","J.Ward","Josh","Ward","HAW","MID",73,193.2
35,"270963","R.Sloane","Rory","Sloane","ADE","MID",77,193.3
646,"1027875","D.Wilson","Darcy","Wilson","STK","MID/FWD",0,193.4
469,"1023640","K.Tholstrup","Koltyn","Tholstrup","MEL","FWD",0,194.8
379,"998205","H.Perryman","Harry","Perryman","GWS","DEF",74,195
731,"1009301","J.Ugle-Hagan","Jamarra","Ugle-Hagan","WBD","FWD",61,195.3
525,"992128","R.Burton","Ryan","Burton","PTA","DEF",76,195.4
17,"1006203","C.Jones","Chayce","Jones","ADE","DEF/MID",74,195.8
423,"998114","J.Scrimshaw","Jack","Scrimshaw","HAW","DEF",75,196.1
37,"1017109","J.Soligo","Jake","Soligo","ADE","MID",73,197
410,"1023482","C.Mackenzie","Cam","Mackenzie","HAW","FWD",49,197.4
563,"1002245","N.Balta","Noah","Balta","RIC","DEF",74,198.5
244,"1027656","C.Simpson","Cooper","Simpson","FRE","MID/FWD",0,199
207,"1023785","E.Tsatas","Elijah","Tsatas","ESS","MID/FWD",55,199.8
147,"291313","J.Howe","Jeremy","Howe","COL","DEF",71,199.9
291,"1018123","J.Rogers","Jake","Rogers","GCS","MID",0,199.9
385,"1027925","H.Thomas","Harvey","Thomas","GWS","MID/FWD",0,201.1
206,"293884","J.Stringer","Jake","Stringer","ESS","FWD",65,201.2
466,"1003546","J.Smith","Joel","Smith","MEL","FWD",44,201.2
314,"1025034","O.Dempsey","Oliver","Dempsey","GEE","FWD",33,201.9
110,"1001398","M.Kennedy","Matthew","Kennedy","CAR","MID",75,202
388,"1004530","J.Wehr","Jacob","Wehr","GWS","MID",26,202.1
712,"294101","J.Johannisen","Jason","Johannisen","WBD","DEF",75,203.2
145,"1006148","B.Hill","Bobby","Hill","COL","FWD",57,203.2
199,"1015873","A.Perkins","Archie","Perkins","ESS","FWD",66,203.7
296,"290832","D.Swallow","David","Swallow","GCS","MID",75,204.2
396,"1005144","M.D'Ambrosio","Massimo","D'Ambrosio","HAW","DEF",40,204.2
225,"1020695","T.Emmett","Tom","Emmett","FRE","FWD",82,204.3
441,"1001438","B.Fritsch","Bayley","Fritsch","MEL","FWD",71,204.4
501,"1031792","F.Maley","Finnbar","Maley","NTH","RUC/FWD",0,204.4
505,"1012829","W.Phillips","Will","Phillips","NTH","MID",73,205.1
155,"1004757","B.McCreery","Beau","McCreery","COL","FWD",54,205.6
201,"1012817","Z.Reid","Zach","Reid","ESS","DEF",0,207
353,"1019038","A.Cadman","Aaron","Cadman","GWS","FWD",23,207.1
386,"280109","C.Ward","Callan","Ward","GWS","MID",75,207.6
574,"1009226","T.Dow","Thomson","Dow","RIC","MID",57,208.7
683,"290307","D.Rampe","Dane","Rampe","SYD","DEF",75,208.8
628,"1006143","M.King","Max","King","STK","FWD",61,209.6
179,"1006096","X.Duursma","Xavier","Duursma","ESS","MID",67,210.2
596,"1006133","J.Ross","Jack","Ross","RIC","MID",75,210.3
156,"1013278","R.McInnes","Reef","McInnes","COL","FWD",21,210.8
449,"1012826","B.Laurie","Bailey","Laurie","MEL","FWD",28,211.2
84,"1017067","D.Wilmot","Darcy","Wilmot","BRL","DEF",71,211.5
