"coach","wins","draws","losses","total_points","position","simulation"
"Jordan",6,0,15,32551,8,53
"Paul",14,0,7,36917,1,54
"Lester",14,0,7,36353,2,54
"Mark",12,0,9,35599,3,54
"Anthony",11,0,10,35099,4,54
"Luke",11,0,10,34928,5,54
"James",10,0,11,34617,6,54
"Jordan",9,0,12,32237,7,54
"Simon",3,0,18,33445,8,54
"Lester",15,0,6,37296,1,55
"Anthony",14,0,7,35432,2,55
"Paul",13,0,8,37019,3,55
"Luke",10,0,11,34644,4,55
"Mark",9,0,12,35173,5,55
"Simon",8,0,13,34131,6,55
"Jordan",8,0,13,32987,7,55
"James",7,0,14,34433,8,55
"Lester",16,0,5,36510,1,56
"Paul",14,0,7,36616,2,56
"Luke",13,0,8,35148,3,56
"James",12,0,9,35171,4,56
"Anthony",10,0,11,34877,5,56
"Mark",7,0,14,35464,6,56
"Jordan",7,0,14,32910,7,56
"Simon",5,0,16,33173,8,56
"Lester",14,0,7,36746,1,57
"Anthony",14,0,7,35529,2,57
"Paul",12,0,9,36317,3,57
"Mark",12,0,9,35168,4,57
"Simon",11,0,10,33857,5,57
"James",10,0,11,34770,6,57
"Luke",7,0,14,34351,7,57
"Jordan",4,0,17,32222,8,57
"Paul",14,0,7,36635,1,58
"Anthony",13,0,8,35374,2,58
"Lester",12,0,9,35952,3,58
"James",11,0,10,34959,4,58
"Luke",11,0,10,34645,5,58
"Mark",10,0,11,35678,6,58
"Jordan",9,0,12,33796,7,58
"Simon",4,0,17,33542,8,58
"Lester",15,0,6,37070,1,59
"Mark",14,0,7,35492,2,59
"Paul",12,0,9,36478,3,59
"James",12,0,9,35225,4,59
"Luke",11,0,10,35199,5,59
"Anthony",11,0,10,35046,6,59
"Jordan",5,0,16,32999,7,59
"Simon",4,0,17,32587,8,59
"Lester",16,0,5,37277,1,60
"Paul",14,0,7,36100,2,60
"Luke",12,0,9,34554,3,60
"James",10,0,11,34512,4,60
"Anthony",9,0,12,35058,5,60
"Mark",9,0,12,34802,6,60
"Simon",8,0,13,33108,7,60
"Jordan",6,0,15,33357,8,60
"Paul",14,0,7,37228,1,61
"Lester",14,0,7,36280,2,61
"Anthony",12,0,9,35396,3,61
"Luke",11,0,10,34541,4,61
"James",10,0,11,34451,5,61
"Mark",9,0,12,34953,6,61
"Simon",8,0,13,33591,7,61
"Jordan",6,0,15,33048,8,61
"Paul",16,0,5,36899,1,62
"Lester",12,0,9,35952,2,62
"Anthony",12,0,9,35189,3,62
"Mark",9,0,12,35427,4,62
"James",9,0,12,34583,5,62
"Simon",9,0,12,33530,6,62
