season,round,fixture,matchup,teamID,teamName,coachID,coachName,team_score
2017,11,4,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1375
2017,12,1,t1,20170181,Absolute Steins,86078,Lester,1503
2017,12,1,t2,20170175,Show Me The Mundy,300791,Pmac,1481
2017,12,2,t1,20170180,Tuohy's Extra Dry,71052,Garter,1696
2017,12,2,t2,20170182,Wholesome Beams,45168,Kappaz,1492
2017,12,3,t1,20170179,I Dream of Viney,21562,Richo,1554
2017,12,3,t2,20170178,Libba Let Die,8258,Chief,1430
2017,12,4,t1,20170177,Free Tibont,10857,Melons,1504
2017,12,4,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1702
2017,13,1,t1,20170175,Show Me The Mundy,300791,Pmac,1295
2017,13,1,t2,20170180,Tuohy's Extra Dry,71052,Garter,949
2017,13,2,t1,20170181,Absolute Steins,86078,Lester,1270
2017,13,2,t2,20170178,Libba Let Die,8258,Chief,1220
2017,13,3,t1,20170176,TitchDntKillMyVibe,180650,Jmerc,1597
2017,13,3,t2,20170182,Wholesome Beams,45168,Kappaz,1456
2017,13,4,t1,20170177,Free Tibont,10857,Melons,1137
2017,13,4,t2,20170179,I Dream of Viney,21562,Richo,1624
2017,14,1,t1,20170178,Libba Let Die,8258,Chief,1659
2017,14,1,t2,20170175,Show Me The Mundy,300791,Pmac,1722
2017,14,2,t1,20170176,TitchDntKillMyVibe,180650,Jmerc,1485
2017,14,2,t2,20170180,Tuohy's Extra Dry,71052,Garter,1585
2017,14,3,t1,20170181,Absolute Steins,86078,Lester,1525
2017,14,3,t2,20170177,Free Tibont,10857,Melons,1633
2017,14,4,t1,20170179,I Dream of Viney,21562,Richo,1709
2017,14,4,t2,20170182,Wholesome Beams,45168,Kappaz,1500
2017,15,1,t1,20170175,Show Me The Mundy,300791,Pmac,1748
2017,15,1,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1805
2017,15,2,t1,20170177,Free Tibont,10857,Melons,1463
2017,15,2,t2,20170178,Libba Let Die,8258,Chief,1413
2017,15,3,t1,20170179,I Dream of Viney,21562,Richo,1612
2017,15,3,t2,20170180,Tuohy's Extra Dry,71052,Garter,1621
2017,15,4,t1,20170181,Absolute Steins,86078,Lester,1735
2017,15,4,t2,20170182,Wholesome Beams,45168,Kappaz,1619
2017,16,1,t1,20170177,Free Tibont,10857,Melons,1495
2017,16,1,t2,20170175,Show Me The Mundy,300791,Pmac,1626
2017,16,2,t1,20170179,I Dream of Viney,21562,Richo,1602
2017,16,2,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1637
2017,16,3,t1,20170178,Libba Let Die,8258,Chief,1639
2017,16,3,t2,20170182,Wholesome Beams,45168,Kappaz,1666
2017,16,4,t1,20170181,Absolute Steins,86078,Lester,1640
2017,16,4,t2,20170180,Tuohy's Extra Dry,71052,Garter,1513
2017,17,1,t1,20170179,I Dream of Viney,21562,Richo,1594
2017,17,1,t2,20170175,Show Me The Mundy,300791,Pmac,1576
2017,17,2,t1,20170177,Free Tibont,10857,Melons,1733
2017,17,2,t2,20170182,Wholesome Beams,45168,Kappaz,1760
2017,17,3,t1,20170181,Absolute Steins,86078,Lester,1420
2017,17,3,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1676
2017,17,4,t1,20170178,Libba Let Die,8258,Chief,1503
2017,17,4,t2,20170180,Tuohy's Extra Dry,71052,Garter,1488
2017,18,1,t1,20170175,Show Me The Mundy,300791,Pmac,1501
2017,18,1,t2,20170182,Wholesome Beams,45168,Kappaz,1783
2017,18,2,t1,20170181,Absolute Steins,86078,Lester,1483
2017,18,2,t2,20170179,I Dream of Viney,21562,Richo,1639
2017,18,3,t1,20170177,Free Tibont,10857,Melons,1622
2017,18,3,t2,20170180,Tuohy's Extra Dry,71052,Garter,1533
2017,18,4,t1,20170178,Libba Let Die,8258,Chief,1623
2017,18,4,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1660
2017,19,1,t1,20170181,Absolute Steins,86078,Lester,1591
2017,19,1,t2,20170175,Show Me The Mundy,300791,Pmac,1602
2017,19,2,t1,20170180,Tuohy's Extra Dry,71052,Garter,1368
2017,19,2,t2,20170182,Wholesome Beams,45168,Kappaz,1661
2017,19,3,t1,20170179,I Dream of Viney,21562,Richo,1548
2017,19,3,t2,20170178,Libba Let Die,8258,Chief,1543
2017,19,4,t1,20170177,Free Tibont,10857,Melons,1674
2017,19,4,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1640
2017,20,1,t1,20170175,Show Me The Mundy,300791,Pmac,1579
2017,20,1,t2,20170180,Tuohy's Extra Dry,71052,Garter,1711
2017,20,2,t1,20170181,Absolute Steins,86078,Lester,1476
2017,20,2,t2,20170178,Libba Let Die,8258,Chief,1537
2017,20,3,t1,20170176,TitchDntKillMyVibe,180650,Jmerc,1751
2017,20,3,t2,20170182,Wholesome Beams,45168,Kappaz,1638
2017,20,4,t1,20170177,Free Tibont,10857,Melons,1853
2017,20,4,t2,20170179,I Dream of Viney,21562,Richo,1663
2017,21,1,t1,20170178,Libba Let Die,8258,Chief,1557
2017,21,1,t2,20170175,Show Me The Mundy,300791,Pmac,1547
2017,21,2,t1,20170176,TitchDntKillMyVibe,180650,Jmerc,1365
2017,21,2,t2,20170180,Tuohy's Extra Dry,71052,Garter,1654
2017,21,3,t1,20170181,Absolute Steins,86078,Lester,1742
2017,21,3,t2,20170177,Free Tibont,10857,Melons,1744
2017,21,4,t1,20170179,I Dream of Viney,21562,Richo,1710
2017,21,4,t2,20170182,Wholesome Beams,45168,Kappaz,1707
2017,22,1,t1,20170175,Show Me The Mundy,300791,Pmac,1732
2017,22,1,t2,20170182,Wholesome Beams,45168,Kappaz,1593
2017,22,2,t1,20170181,Absolute Steins,86078,Lester,1600
2017,22,2,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1738
2017,23,1,t1,20170175,Show Me The Mundy,300791,Pmac,1744
2017,23,1,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1402
2018,1,1,t1,20180349,Danger Things,300791,Pmac,1565
2018,1,1,t2,20180350,The Lyons King,45168,Kappaz,1743
2018,1,2,t1,20180351,Since U Been Gawn,10857,Melons,1705
2018,1,2,t2,20180352,VlastuinTrnslation,8258,Chief,1613
2018,1,3,t1,20180353,Vodka Kreuzers,71052,Garter,1637
2018,1,3,t2,20180354,Ward of the Rings,21562,Richo,1552
2018,1,4,t1,20180355,Crippstocurrency,180650,Jmerc,1607
2018,1,4,t2,20180356,Post MaSloane,86078,Lester,1465
2018,2,1,t1,20180349,Danger Things,300791,Pmac,1608
2018,2,1,t2,20180352,VlastuinTrnslation,8258,Chief,1796
2018,2,2,t1,20180350,The Lyons King,45168,Kappaz,1695
2018,2,2,t2,20180354,Ward of the Rings,21562,Richo,1710
2018,2,3,t1,20180356,Post MaSloane,86078,Lester,1527
2018,2,3,t2,20180351,Since U Been Gawn,10857,Melons,1474
2018,2,4,t1,20180355,Crippstocurrency,180650,Jmerc,1493
2018,2,4,t2,20180353,Vodka Kreuzers,71052,Garter,1517
2018,3,1,t1,20180349,Danger Things,300791,Pmac,1349
2018,3,1,t2,20180354,Ward of the Rings,21562,Richo,1713
2018,3,2,t1,20180356,Post MaSloane,86078,Lester,1626
2018,3,2,t2,20180352,VlastuinTrnslation,8258,Chief,1648
2018,3,3,t1,20180355,Crippstocurrency,180650,Jmerc,1589
2018,3,3,t2,20180350,The Lyons King,45168,Kappaz,1675
2018,3,4,t1,20180351,Since U Been Gawn,10857,Melons,1666
2018,3,4,t2,20180353,Vodka Kreuzers,71052,Garter,1371
2018,4,1,t1,20180349,Danger Things,300791,Pmac,1641
2018,4,1,t2,20180356,Post MaSloane,86078,Lester,1640
2018,4,2,t1,20180355,Crippstocurrency,180650,Jmerc,1568
2018,4,2,t2,20180354,Ward of the Rings,21562,Richo,1532
2018,4,3,t1,20180352,VlastuinTrnslation,8258,Chief,1565
2018,4,3,t2,20180353,Vodka Kreuzers,71052,Garter,1726
2018,4,4,t1,20180351,Since U Been Gawn,10857,Melons,1673
2018,4,4,t2,20180350,The Lyons King,45168,Kappaz,1602
2018,5,1,t1,20180355,Crippstocurrency,180650,Jmerc,1661
2018,5,1,t2,20180349,Danger Things,300791,Pmac,1581
2018,5,2,t1,20180356,Post MaSloane,86078,Lester,1468
2018,5,2,t2,20180353,Vodka Kreuzers,71052,Garter,1396
2018,5,3,t1,20180351,Since U Been Gawn,10857,Melons,1736
