,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
101,Def,,,Dyson Heppell,ESS,No,10.2,-17.8,,74,81.6,118,"Role: Essendon likely to phase him out, little impact.",15.7,22,31,11896,290629,CD_I290629,,
102,Ruck,Mid,,Mark Blicavs,GEE,Yes,-1.2,-20.8,,80,81.5,89,"Interrupted preseason (Minor): hamstring, may miss early rounds. Role dependent scorer.",19.2,19,32,12153,296733,CD_I296733,,
103,Def,,,Brodie Smith,ADE,No,10,-18,,79,81.4,116,,16.7,22,31,11891,291748,CD_I291748,,
104,Def,,,Nick Vlastuin,RIC,No,9.8,-18.2,,82,81.2,111,,16.3,21,29,12174,294674,CD_I294674,,
105,Def,,,Blake Hardwick,HAW,No,9.6,-18.4,,80,81,139,,22,23,26,12469,993794,CD_I993794,,
106,Def,,,John Noble,COL,No,9.6,-18.4,,78,81,135,Selection: Edge of best 22 for Collingwood - missed Grand Final,19.4,23,26,12743,1000072,CD_I1000072,,
107,Mid,,,Jacob Hopper,RIC,No,1.5,-26.1,,85,80.8,123,,26.8,16,26,12440,993903,CD_I993903,,
108,Def,,,Jordan Ridley,ESS,No,9.4,-18.6,,77,80.8,114,Role: scoring may be impacted by Nic Martin move.,27.3,17,25,12631,1001026,CD_I1001026,,
109,Def,,,Jarman Impey,HAW,No,9.2,-18.8,,80,80.6,142,,25,22,28,12237,296254,CD_I296254,,
110,Fwd,,,Taylor Walker,ADE,No,15.9,-11.4,,80,80.4,99,,38.4,22,33,11713,280506,CD_I280506,,
111,Def,,,Daniel Rioli,RIC,No,8.9,-19.1,,84,80.3,110,,20.2,23,26,12403,1000981,CD_I1000981,,
112,Fwd,,,Isaac Heeney,SYD,No,15.5,-11.8,,87,80,81,,19.7,22,27,12326,298539,CD_I298539,,
113,Mid,,,Tom Atkins,GEE,No,0.6,-27,,83,79.9,133,,22.2,23,28,12690,994386,CD_I994386,,
114,Mid,,,Patrick Dangerfield,GEE,No,0.6,-27,,75,79.9,134,,21.6,18,33,11700,270917,CD_I270917,,
115,Def,,,Ed Richards,WBD,No,8.4,-19.6,,80,79.8,121,,16.4,19,24,12605,1008280,CD_I1008280,,
116,Mid,,,Tarryn Thomas,NTH,No,0,-27.6,,0,79.3,194,"Suspension/delisted: 18 games, domestic violence. Delisted.",13.9,12,23,12707,1005729,CD_I1005729,,
117,Mid,,,James Rowbottom,SYD,No,0,-27.6,,81,79.3,137,,18.4,23,23,12714,1006126,CD_I1006126,,
118,Mid,,,Lachie Hunter,MEL,No,-0.1,-27.7,,76,79.2,153,"Injury/Interrupted pre-season (Major): calf, may miss opening rounds.",17,22,29,12203,294557,CD_I294557,,
119,Mid,,,Steele Sidebottom,COL,No,-0.4,-28,,77,78.9,167,,22.2,17,32,11751,280965,CD_I280965,,
120,Ruck,,,Ivan Soldo,PTA,No,-4.1,-23.7,,80,78.6,176,Trade: Potential sole ruck role or will share with Sweet?,22.9,8,27,12529,998529,CD_I998529,,
121,Fwd,,,Lachie Schultz,COL,No,14,-13.3,,76,78.5,102,,20.4,23,26,12700,1000860,CD_I1000860,,
