"playerName","playerId","teamAbbr","salarySuperCoach","positionSuperCoach","ownershipSuperCoach","pricedAt","age","playerIdVoid","gms","subCount","kicks","handballs","marks","tackles","hitouts","ruckContestPercentage","goals","centreBounceAttendancePercentage","kickins","playOnPercentage","timeOnGroundPercentage","FP","consistency","FPadj","FPfirst","FPsecond","FPreg","FPfin","maxFP","minFP","pointsPerMinute","gm100","gm120","gmSub90","cbaPre","kiPre","poPre","togPre","fpPre","ppmPre","changeOwn","dollarsPerPoint","rankSalary","rankReg","rankAdj","rankFirst","rankSecond","feedID"
"Errol Gulden","CD_I1013128","SYD",581900,"MID",6.3,108,22,"CD_I1013128","26",,"19.8","7.3","5.6","3.5","0.0","0","0.6","36","1","100","91","106.5","0.225","106.5","104.5","111.2","108.0","94.7","157","73","0.94","13","6","7","46","0",,"78","133.0","1.49",0,"5388",17,"17","21","28","11",1013128
"Josh Dunkley","CD_I993834","BRL",602300,"MID",1,111.7,28,"CD_I993834","27",,"12.4","12.9","5.6","6.2","0.1","1","0.2","80","0",,"84","109.6","0.193","109.6","112.5","111.1","111.8","96.8","163","69","1.03","18","9","4","75","0",,"69","99.0","1.25",0,"5387",10,"10","14","13","12",993834
"Will Setterfield","CD_I998215","ESS",462300,"MID",0.7,85.8,27,"CD_I998215","4",,"12.3","10.5","4.3","6.8","0.0","0","0.0","58","0",,"78","107.3","0.191","107.3","106.0","111.0","107.3",,"126","73","1.08","3","1","1","76","0",,"69","111.0","1.34",0,"4308",56,"18","17","21","13",998215
"Nick Daicos","CD_I1023261","COL",631400,"MID",38.2,117.1,22,"CD_I1023261","23",,"16.6","14.1","3.0","3.8","0.0","0","0.9","74","7","100","85","117.2","0.264","117.2","123.6","110.2","117.2",,"186","54","1.08","18","11","4","61","0",,"57","102.0","1.54",0.2,"5387",5,"5","4","4","14",1023261
"Tom Green","CD_I1009528","GWS",574200,"MID",10.6,106.5,24,"CD_I1009528","25",,"13.4","17.4","3.0","4.0","0.0","0","0.4","80","0",,"80","106.0","0.302","110.2","103.4","109.5","106.6","99.5","159","5","1.04","14","6","6","75","0",,"82","118.0","1.17",-0.1,"5386",19,"20","11","31","15",1009528
"Isaac Heeney","CD_I298539","SYD",629200,"MID",3.7,116.7,28,"CD_I298539","24",,"13.7","11.4","4.5","4.7","0.0","0","1.4","74","0",,"81","115.0","0.261","115.0","125.5","107.1","116.8","103.0","165","30","1.14","17","12","5","50","0",,"75","70.0","0.81",0,"5387",6,"6","9","1","16",298539
"Jai Newcombe","CD_I1020895","HAW",529700,"MID",2.5,98.3,23,"CD_I1020895","25",,"10.5","14.3","3.9","4.4","0.0","0","0.4","73","0",,"82","101.6","0.277","101.6","90.7","106.6","98.3","140.0","162","61","1.00","13","7","8","77","0",,"84","125.0","1.20",-0.1,"5389",35,"36","30","49","17",1020895
"Caleb Serong","CD_I1009420","FRE",623400,"MID",16.6,115.7,24,"CD_I1009420","23",,"13.7","15.7","2.8","5.0","0.0","0","0.5","79","0",,"82","115.7","0.187","115.7","124.6","106.0","115.7",,"170","84","1.14","17","8","2","76","0",,"81","95.0","1.00",0.2,"5388",8,"8","7","3","18",1009420
"Jack Steele","CD_I296205","STK",585200,"MID",0.8,108.6,29,"CD_I296205","23",,"11.3","13.0","5.7","7.3","0.0","0","0.3","85","0",,"84","108.6","0.182","108.6","111.9","105.0","108.6",,"143","70","1.07","14","7","5","79","0",,"79","111.0","1.17",0,"5389",15,"15","16","14","19",296205
"Noah Anderson","CD_I1009199","GCS",574900,"MID",2.4,106.7,24,"CD_I1009199","23",,"15.7","13.2","4.7","3.1","0.0","0","0.6","81","0",,"86","106.7","0.293","106.7","109.2","104.0","106.7",,"155","50","0.99","11","10","6","82","0",,"81","97.0","0.97",0,"5388",18,"19","19","17","20",1009199
