"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
290198,565,"David","Astbury","RIC","DEF",,19,,65,60.5714,68.3333,59,301500,,,,,,
998114,433,"Jack","Scrimshaw","HAW","DEF",,19,,74,81.375,54.6667,77.6,411500,2016,"At Witts End","Paul",TRUE,"scoring","DEF"
1006096,534,"Xavier","Duursma","PTA","MID",,19,,66,71.6,80.3333,71.6,394700,,,,,,
294877,344,"Isaac","Smith","GEE","FWD","MID",19,,99,87.2778,100.667,99.8,486100,6510,"The Big Short","Luke",TRUE,"scoring","FWD"
298298,754,"Jackson","Nelson","WCE","DEF",,19,,,51.6667,34.6667,48.6,258600,,,,,,
990609,54,"Charlie","Cameron","BRL","FWD",,19,,80,66.4444,56.6667,66.4,314900,,,,,,
294429,617,"Luke","Dunstan","STK","MID",,19,,85,97.2222,96.3333,103.2,507000,23345,"Pink Lloyd","Jordan",TRUE,"scoring","MID"
294125,257,"Nathan","Wilson","FRE","DEF",,19,,102,73.375,81.6667,79.6,378200,,,,,,
999827,101,"Zac","Fisher","CAR","FWD",,19,,47,61.5,58.6667,59.2,331600,,,,,,
250362,22,"David","Mackay","ADE","DEF",,19,,7,57.3846,41,50.4,289400,,,,,,
1000072,161,"John","Noble","COL","DEF",,19,,60,73,84.6667,74,377100,,,,,,
1002235,77,"Cam","Rayner","BRL","FWD",,19,,,0,0,0,392900,,,,,,
291357,341,"Gary","Rohan","GEE","FWD",,19,,55,75.2,59,67.8,369300,,,,,,
296735,493,"Aaron","Hall","NTH","FWD",,19,,124,99.6875,116.667,108.2,554600,2016,"At Witts End","Paul",TRUE,"scoring","FWD"
993953,62,"Eric","Hipwood","BRL","FWD",,19,,,57,23.6667,37.4,248100,,,,,,
298211,321,"Darcy","Fort","GEE","RUC",,19,,,0,0,0,390700,,,,,,
1006159,406,"Damon","Greaves","HAW","DEF",,19,,,51.8,61.6667,51.8,323300,,,,,,
290527,553,"Trent","McKenzie","PTA","DEF",,19,,19,83.7778,75.3333,76.8,425600,20240,"MakingTheirMarcus","James",TRUE,"scoring","DEF"
296371,219,"Brett","Bewley","FRE","FWD","MID",19,,,69.3333,69.3333,69.3333,379600,,,,,,
293845,312,"Jeremy","Cameron","GEE","FWD",,19,,,80.4,59.3333,80.6,411700,2018,"Surviving J.Kelly","Mark",TRUE,"nonscoring","FWD"
291327,400,"Jonathon","Ceglar","HAW","RUC",,19,,,88.1111,103.333,102.4,460600,,,,,,
281078,105,"Liam","Jones","CAR","DEF",,19,,69,69.5294,70.3333,75,373400,,,,,,
1004938,334,"Gryan","Miers","GEE","FWD",,19,,64,64.0909,62,58.8,328100,,,,,,
993771,593,"Marlion","Pickett","RIC","MID",,19,,45,67.7059,50,61.4,326100,,,,,,
291848,655,"Robbie","Fox","SYD","DEF",,19,,89,63.4,72.6667,76,341900,,,,,,
1008550,402,"Will","Day","HAW","DEF",,19,,,79.4,73.3333,79.4,359400,,,,,,
1011936,669,"Justin","McInerney","SYD","MID",,19,,55,72.75,73.6667,81,387900,,,,,,
993917,630,"Ben","Long","STK","DEF",,19,,43,44.25,54.6667,48.6,254600,,,,,,
280819,582,"Dylan","Grimes","RIC","DEF",,19,,55,71.0588,71,79.4,402500,,,,,,
996580,236,"Ethan","Hughes","FRE","DEF",,19,,,62.75,58.6667,65,343200,,,,,,
294592,588,"Kamdyn","McIntosh","RIC","MID",,19,,,60,57,53.2,3e+05,,,,,,
294508,486,"Aidan","Corr","NTH","DEF",,19,,,80.5,80.5,80.5,381100,,,,,,
1007102,337,"Mark","O'Connor","GEE","DEF",,19,,77,74.3636,66,66.8,349500,,,,,,
1010841,152,"Jack","Madgen","COL","DEF",,19,,108,62.8571,85.6667,80,360300,,,,,,
291548,64,"Ryan","Lester","BRL","DEF",,19,,72,57.75,56,48.6,258400,,,,,,
291545,724,"Mitch","Wallis","WBD","FWD",,19,,,45.6667,51,45.8,280400,,,,,,
210012,399,"Shaun","Burgoyne","HAW","FWD",,19,,16,49.0769,45,40.2,231400,,,,,,
1005577,181,"Sam","Draper","ESS","RUC",,19,,71,69.25,73.3333,65.8,361800,,,,,,
290160,450,"Michael","Hibberd","MEL","DEF",,19,,36,57.7857,53.3333,52.2,279600,,,,,,
281373,757,"Jack","Redden","WCE","MID",,19,,,88.5333,75,81.8,453800,,,,,,
270326,325,"Lachie","Henderson","GEE","DEF",,19,,92,78.6875,86.3333,71,383100,,,,,,
1004998,551,"Todd","Marshall","PTA","FWD",,19,,95,62.2667,52.3333,64.8,276200,,,,,,
1001299,559,"Connor","Rozee","PTA","FWD",,19,,92,69.2667,67.6667,75.2,372400,,,,,,
298144,673,"Sam","Naismith","SYD","RUC",,19,,,0,0,0,376100,,,,,,
240302,53,"Grant","Birchall","BRL","DEF",,19,,43,70.8235,59.3333,75.2,370000,,,,,,
291526,316,"Luke","Dahlhaus","GEE","FWD",,19,,77,57.625,74.6667,62.4,282100,,,,,,
294036,662,"George","Hewett","SYD","MID",,19,,86,70.4375,91.6667,94.8,426900,,,,,,
292145,545,"Tom","Jonas","PTA","DEF",,19,,55,75.8333,68.6667,68.6,373300,,,,,,
1002245,567,"Noah","Balta","RIC","DEF",,19,,,66.4286,65.3333,80.2,359800,,,,,,
290826,737,"Jamie","Cripps","WCE","FWD",,19,,78,73.5556,93,72,361200,,,,,,
280416,154,"Chris","Mayne","COL","MID",,19,,,96.9231,100.333,98,503700,22859,"Ariana Grundy","Lester",FALSE,"nonscoring","MID"
993794,409,"Blake","Hardwick","HAW","DEF",,19,,80,91.5625,73,78.6,417800,22859,"Ariana Grundy","Lester",TRUE,"scoring","DEF"
290314,376,"Lachlan","Keeffe","GWS","DEF",,19,,,63.125,58.3333,67,335500,,,,,,
270588,190,"Cale","Hooker","ESS","DEF",,19,,68,63.8889,69,54,295400,,,,,,
290641,611,"Jake","Carlisle","STK","DEF",,19,,,60.5,50,60.5,340600,,,,,,
1001195,296,"Izak","Rankine","GCS","FWD",,19,,33,55.0556,40.6667,41.4,240500,,,,,,
294092,197,"Anthony","McDonald-Tipungwuti","ESS","FWD",,19,,17,67.5,44.6667,51.4,297700,,,,,,
290823,225,"Reece","Conca","FRE","DEF",,19,,,60.1111,61,57.8,309100,,,,,,
1002220,340,"Esava","Ratugolea","GEE","RUC","FWD",19,,84,62.3,72,60.8,309500,,,,,,
990606,210,"Will","Snelling","ESS","FWD",,19,,104,80.8667,89.3333,85,425300,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","FWD"
997206,26,"Andrew","McPherson","ADE","DEF",,19,,62,50.1667,71,58.4,287400,,,,,,
293813,585,"Tom J.","Lynch","RIC","FWD",,19,,59,68.0714,67.3333,79.6,382100,,,,,,
996483,713,"Toby","McLean","WBD","FWD",,19,,,65,65,65,357800,,,,,,
291849,158,"Brody","Mihocek","COL","FWD",,19,,95,60.9444,78.6667,67.8,311300,,,,,,
993828,67,"Rhys","Mathieson","BRL","FWD","MID",19,,,60.4444,48.3333,45.8,291000,,,,,,
297406,180,"Tom","Cutler","ESS","MID",,19,,49,51.5,67,56.6,320100,,,,,,
993820,736,"Tom","Cole","WCE","DEF",,19,,54,55.8333,58.3333,61.4,295100,,,,,,
294596,636,"Tim","Membrey","STK","FWD",,19,,68,80.4118,77.3333,75.8,430200,23345,"Pink Lloyd","Jordan",TRUE,"scoring","FWD"
293193,3,"Luke","Brown","ADE","DEF",,19,,,59.7273,51.3333,61.8,317900,,,,,,
998134,606,"Josh","Battle","STK","FWD","MID",19,,,63.5714,51,57,290000,,,,,,
296269,61,"Darcy","Gardiner","BRL","DEF",,19,,,60.8,58,60.8,296200,,,,,,
293801,141,"Jamie","Elliott","COL","FWD","MID",19,,56,79.1111,88,81.6,425900,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","FWD"
1001438,447,"Bayley","Fritsch","MEL","FWD",,19,,55,64.4706,62.6667,66,321800,,,,,,
1007881,295,"Wil","Powell","GCS","DEF",,19,,104,84.8333,84.3333,87.2,430700,6510,"The Big Short","Luke",FALSE,"nonscoring","DEF"
1000963,424,"Harry","Morrison","HAW","DEF","MID",19,,,64.8182,57.6667,55.4,303300,,,,,,
1005199,15,"Elliott","Himmelberg","ADE","FWD",,19,,55,46.4,51,46.4,288400,,,,,,
1002251,361,"Brent","Daniels","GWS","FWD",,19,,94,58.7273,78.3333,66.8,317100,,,,,,
993107,371,"Harry","Himmelberg","GWS","FWD",,19,,60,71.0556,73,67.2,368100,,,,,,
993480,625,"Dougal","Howard","STK","DEF",,19,,44,83.5556,54,71.8,395100,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","DEF"
294624,121,"Lachie","Plowman","CAR","DEF",,19,,71,58,51,59.4,271500,,,,,,
298470,23,"Shane","McAdam","ADE","FWD",,19,,,48.5385,48.3333,45.4,254800,,,,,,
280934,41,"Daniel","Talia","ADE","DEF",,19,,,0,0,0,354600,,,,,,
293581,68,"Lincoln","McCarthy","BRL","FWD",,19,,88,79.7778,59.6667,78.4,383500,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","FWD"
998115,229,"Taylin","Duman","FRE","DEF",,19,,,61.6667,68.6667,65.4,324300,,,,,,
1002240,509,"Jaidyn","Stephenson","NTH","FWD",,19,,112,81.2667,109.667,91,442500,20240,"MakingTheirMarcus","James",TRUE,"scoring","FWD"
