"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round.x","projected_points","points","user_team_id","team.x","coach.x","picked","type","position.x","median_score","round.y","pick","order_id","coach.y","player_name","team.y","position.y","position_drafted","time_drafted","DEF","MID","RUC","FWD","score"
1006103,177,"Jye","Caldwell","ESS","FWD","MID",7,,,22859,"Ariana Grundy","Lester",TRUE,"non-scoring","FWD",70,12,93,5,"Melons","J.Caldwell","ESS","FWD MID","FWD","2021-04-11 18:07:09",,-2.814,,-1.712,-1.712
997142,547,"Peter","Ladhams","PTA","RUC","FWD",7,,,,,,,,,44.5,12,94,6,"Pmac","P.Ladhams","PTA","RUC FWD","FWD","2021-04-11 18:07:15",,,-4.128,-4.027,-4.027
281080,762,"Brad","Sheppard","WCE","DEF",,7,,57,20323,"La MacRaena","Anthony",TRUE,"scoring","DEF",64,12,95,7,"Richo","B.Sheppard","WCE","DEF","DEF","2021-04-11 18:07:20",-3.452,,,,-3.452
296359,472,"Christian","Salem","MEL","DEF",,7,,104,20240,"MakingTheirMarcus","James",TRUE,"scoring","DEF",104,12,96,8,"Garter","C.Salem","MEL","DEF","DEF","2021-04-11 18:07:25",0.868,,,,0.868
999827,101,"Zac","Fisher","CAR","FWD",,7,,,,,,,,,70,13,97,8,"Garter","Z.Fisher","CAR","FWD","FWD","2021-04-11 18:07:32",,,,-1.712,-1.712
293845,312,"Jeremy","Cameron","GEE","FWD",,7,,49,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","FWD",66,13,98,7,"Richo","J.Cameron","GEE","FWD","FWD","2021-04-11 18:07:39",,,,-2.075,-2.075
1002264,612,"Hunter","Clark","STK","DEF",,7,,106,2016,"At Witts End","Paul",TRUE,"scoring","DEF",106,13,99,6,"Pmac","H.Clark","STK","DEF","DEF","2021-04-11 18:07:44",1.084,,,,1.084
998133,51,"Jarrod","Berry","BRL","MID",,7,,,,,,,,,51,13,100,5,"Melons","J.Berry","BRL","MID","MID","2021-04-11 18:07:49",,-4.391,,,-4.391
296351,607,"Jack","Billings","STK","MID",,7,,96,23345,"Pink Lloyd","Jordan",TRUE,"scoring","MID",96,13,101,4,"Jmerc","J.Billings","STK","MID","MID","2021-04-11 18:07:54",,-0.656,,,-0.656
281007,254,"Michael","Walters","FRE","FWD","MID",7,,83,23413,"The West Wingard","Simon",TRUE,"scoring","FWD",61,13,102,3,"Chief","M.Walters","FRE","FWD MID","FWD","2021-04-11 18:08:00",,-3.561,,-2.529,-2.529
1004364,760,"Liam","Ryan","WCE","FWD",,7,,,,,,,,,61.5,13,103,2,"Lester","L.Ryan","WCE","FWD","FWD","2021-04-11 18:08:06",,,,-2.484,-2.484
1002222,438,"James","Worpel","HAW","MID",,7,,110,,,,,,,54,13,104,1,"Kappaz","J.Worpel","HAW","MID","MID","2021-04-11 18:08:10",,-4.142,,,-4.142
996059,47,"Harris","Andrews","BRL","DEF",,7,,123,6510,"The Big Short","Luke",TRUE,"scoring","DEF",92,14,105,1,"Kappaz","H.Andrews","BRL","DEF","DEF","2021-04-11 18:08:16",-0.428,,,,-0.428
261323,419,"Ben","McEvoy","HAW","DEF","RUC",7,,106,,,,,,,89,14,106,2,"Lester","B.McEvoy","HAW","DEF RUC","DEF","2021-04-11 18:08:22",-0.752,,-1.456,,-0.752
993903,373,"Jacob","Hopper","GWS","MID",,7,,104,23413,"The West Wingard","Simon",TRUE,"scoring","MID",104,14,107,3,"Chief","J.Hopper","GWS","MID","MID","2021-04-11 18:08:27",,0.007,,,0.007
298630,194,"Kyle","Langford","ESS","FWD","MID",7,,68,23345,"Pink Lloyd","Jordan",TRUE,"scoring","FWD",71,14,108,4,"Jmerc","K.Langford","ESS","FWD MID","FWD","2021-04-11 18:08:32",,-2.731,,-1.621,-1.621
1006130,718,"Bailey","Smith","WBD","MID",,7,,97,20323,"La MacRaena","Anthony",TRUE,"scoring","MID",87,14,109,5,"Melons","B.Smith","WBD","MID","MID","2021-04-11 18:08:36",,-1.403,,,-1.403
260382,664,"Josh P.","Kennedy","SYD","MID",,7,,80,2016,"At Witts End","Paul",TRUE,"scoring","MID",92,14,110,6,"Pmac","J.P.Kennedy","SYD","MID","MID","2021-04-11 18:08:41",,-0.988,,,-0.988
297899,449,"James","Harmes","MEL","DEF",,7,,,6510,"The Big Short","Luke",FALSE,"non-scoring","DEF",64,14,111,7,"Richo","J.Harmes","MEL","DEF","DEF","2021-04-11 18:08:47",-3.452,,,,-3.452
993817,202,"Darcy","Parish","ESS","MID",,7,,107,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID",99,14,112,8,"Garter","D.Parish","ESS","MID","MID","2021-04-11 18:08:51",,-0.408,,,-0.408
291545,724,"Mitch","Wallis","WBD","FWD",,7,,,,,,,,,45.5,15,113,8,"Garter","M.Wallis","WBD","FWD","FWD","2021-04-11 18:08:59",,,,-3.936,-3.936
