"","feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
"594",1015873,203,"Archie","Perkins","ESS","MID","FWD",11,NA,65,53.3333,48,57.6,252800,NA,NA,NA,NA,NA,NA
"595",1011929,119,"Sam","Philp","CAR","FWD",NA,11,NA,NA,0,0,0,171100,NA,NA,NA,NA,NA,NA
"596",1012817,206,"Zach","Reid","ESS","DEF",NA,11,NA,NA,53,53,53,166800,NA,NA,NA,NA,NA,NA
"597",1004949,665,"Matthew","Ling","SYD","DEF",NA,11,NA,NA,0,0,0,163000,NA,NA,NA,NA,NA,NA
"598",1012218,32,"Luke","Pedlar","ADE","MID",NA,11,NA,NA,0,0,0,162300,NA,NA,NA,NA,NA,NA
"599",1009223,176,"Ned","Cahill","ESS","FWD",NA,11,NA,NA,26,26,26,161200,NA,NA,NA,NA,NA,NA
"600",1005330,446,"Kade","Chandler","MEL","FWD",NA,11,NA,NA,7,7,7,161200,NA,NA,NA,NA,NA,NA
"601",1000061,573,"Callum","Coleman-Jones","RIC","RUC","FWD",11,NA,112,112,112,112,161200,NA,NA,NA,NA,NA,NA
"602",1013974,148,"Mark","Keane","COL","DEF",NA,11,NA,NA,54.75,57,54.75,217200,NA,NA,NA,NA,NA,NA
"603",1012805,356,"Tanner","Bruhn","GWS","MID",NA,11,NA,NA,37.2,35.3333,37.2,161600,NA,NA,NA,NA,NA,NA
"604",281052,745,"Mark","Hutchings","WCE","MID","FWD",11,NA,NA,0,0,0,157600,NA,NA,NA,NA,NA,NA
"605",290246,484,"Tom","Campbell","NTH","RUC","FWD",11,NA,41,61,67.3333,75.2,333100,23413,"The West Wingard","Simon",FALSE,"non-scoring","RUC"
"606",1005793,735,"Jarrod","Cameron","WCE","FWD",NA,11,NA,NA,0,0,0,153700,NA,NA,NA,NA,NA,NA
"607",1011659,505,"Tom","Powell","NTH","MID",NA,11,NA,51,69.3636,48.3333,63,322000,NA,NA,NA,NA,NA,NA
"608",1013224,223,"Heath","Chapman","FRE","DEF",NA,11,NA,NA,56.1667,39.3333,59,250500,NA,NA,NA,NA,NA,NA
"609",1008752,40,"Kieran","Strachan","ADE","RUC","FWD",11,NA,NA,0,0,0,146700,NA,NA,NA,NA,NA,NA
"610",1002351,50,"Connor","Ballenden","BRL","FWD",NA,11,NA,NA,16,16,16,146100,NA,NA,NA,NA,NA,NA
"611",1009226,578,"Thomson","Dow","RIC","MID",NA,11,NA,NA,0,0,0,146100,NA,NA,NA,NA,NA,NA
"612",1008537,423,"Josh","Morris","HAW","FWD",NA,11,NA,21,21,21,21,145100,NA,NA,NA,NA,NA,NA
"613",1015862,390,"Conor","Stone","GWS","FWD",NA,11,NA,NA,41.6667,41.6667,41.6667,162000,NA,NA,NA,NA,NA,NA
"614",1012014,686,"Chad","Warner","SYD","FWD",NA,11,NA,63,71.5455,60,60.4,311800,NA,NA,NA,NA,NA,NA
"615",1009380,300,"Jeremy","Sharp","GCS","MID",NA,11,NA,NA,0,0,0,141800,NA,NA,NA,NA,NA,NA
"616",1011583,546,"Lachlan","Jones","PTA","DEF",NA,11,NA,80,64.5,65.6667,64.5,220300,NA,NA,NA,NA,NA,NA
"617",1008940,329,"Ben","Jarvis","GEE","DEF","FWD",11,NA,NA,0,0,0,139200,NA,NA,NA,NA,NA,NA
"618",1008139,440,"Toby","Bedford","MEL","FWD",NA,11,NA,NA,0,0,0,137000,NA,NA,NA,NA,NA,NA
"619",1008285,149,"Will","Kelly","COL","FWD",NA,11,NA,NA,26,26,26,135400,NA,NA,NA,NA,NA,NA
"620",296984,374,"Tom","Hutchesson","GWS","MID","FWD",11,NA,NA,0,0,0,135400,NA,NA,NA,NA,NA,NA
"621",1012860,145,"Oliver","Henry","COL","FWD",NA,11,NA,NA,16,16,16,120900,NA,NA,NA,NA,NA,NA
"622",1015777,352,"Ryan","Angwin","GWS","MID",NA,11,NA,NA,0,0,0,130800,NA,NA,NA,NA,NA,NA
"623",1013532,60,"Tom","Fullarton","BRL","RUC","FWD",11,NA,NA,40.25,41,40.25,164800,NA,NA,NA,NA,NA,NA
"624",1005599,742,"Luke","Foley","WCE","DEF",NA,11,NA,NA,3,3,3,127900,NA,NA,NA,NA,NA,NA
"625",1012828,151,"Finlay","Macrae","COL","MID","FWD",11,NA,6,26.75,22,26.75,130400,NA,NA,NA,NA,NA,NA
"626",1018075,12,"Lachlan","Gollant","ADE","DEF","MID",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"627",1011254,31,"Ronin","O'Connor","ADE","MID",NA,11,NA,NA,47,47,47,123900,NA,NA,NA,NA,NA,NA
"628",1011981,44,"Josh","Worrell","ADE","DEF","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"629",298336,55,"Nakia","Cockatoo","BRL","MID","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"630",1006150,63,"Tom","Joyce","BRL","FWD","MID",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"631",1013978,66,"James","Madden","BRL","DEF","FWD",11,NA,68,64.3333,64.3333,64.3333,176100,NA,NA,NA,NA,NA,NA
"632",1006085,70,"Connor","McFadyen","BRL","FWD",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"633",1009386,76,"Jaxon","Prior","BRL","DEF",NA,11,NA,59,51.25,50,54.4,246600,NA,NA,NA,NA,NA,NA
"634",1009242,83,"Brock","Smith","BRL","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"635",1006033,84,"Ely","Smith","BRL","FWD","MID",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"636",1002938,104,"Josh","Honey","CAR","MID","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"637",1009241,106,"Brodie","Kemp","CAR","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"638",1013973,116,"Matthew","Owies","CAR","FWD",NA,11,NA,45,55.6,54,55.6,216200,NA,NA,NA,NA,NA,NA
"639",1002942,122,"Sam","Ramsay","CAR","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"640",1009186,132,"Trent","Bianco","COL","DEF","MID",11,NA,83,83,83,83,123900,NA,NA,NA,NA,NA,NA
"641",1000960,150,"Max","Lynch","COL","RUC","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"642",1005107,160,"Nathan","Murphy","COL","DEF",NA,11,NA,48,50.5,51.6667,50.5,185500,NA,NA,NA,NA,NA,NA
"643",1015793,165,"Jay","Rantall","COL","MID",NA,11,NA,NA,25,25,25,123900,NA,NA,NA,NA,NA,NA
"644",1013975,171,"Anton","Tohill","COL","FWD",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"645",993797,172,"Tom","Wilson","COL","FWD",NA,11,NA,38,34,34,34,136100,NA,NA,NA,NA,NA,NA
"646",1011954,175,"Nick","Bryan","ESS","RUC",NA,11,NA,NA,51,51,51,123900,NA,NA,NA,NA,NA,NA
"647",1020224,189,"Tom","Hird","ESS","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"648",1006506,192,"Lachlan","Johnson","ESS","MID","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"649",1011755,193,"Harrison","Jones","ESS","FWD",NA,11,NA,78,49,59.6667,63.6,263100,NA,NA,NA,NA,NA,NA
"650",1018969,196,"Cian","McBride","ESS","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"651",1019156,199,"Ross","McQuillan","ESS","DEF","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"652",1002354,232,"Stefan","Giro","FRE","MID",NA,11,NA,NA,59,59,59,170000,NA,NA,NA,NA,NA,NA
"653",1000980,239,"Lloyd","Meek","FRE","RUC",NA,11,NA,NA,56.75,61.3333,56.75,213000,NA,NA,NA,NA,NA,NA
"654",1009381,249,"Leno","Thomas","FRE","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"655",1004850,252,"Luke","Valente","FRE","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"656",1009334,268,"Matt","Conroy","GCS","RUC",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"657",1000044,289,"Jez","McLennan","GCS","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"658",1016116,292,"Patrick","Murtagh","GCS","FWD",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"659",1005986,297,"Malcolm","Rosas","GCS","FWD",NA,11,NA,48,34.5,34.5,34.5,123900,NA,NA,NA,NA,NA,NA
"660",281075,303,"Rory","Thompson","GCS","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"661",1019157,304,"Luke","Towey","GCS","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"662",1006101,311,"Oscar","Brownless","GEE","FWD",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"663",1009229,318,"Sam","De Koning","GEE","DEF",NA,11,NA,NA,27,27,27,123900,NA,NA,NA,NA,NA,NA
"664",1017255,320,"Francis","Evans","GEE","FWD",NA,11,NA,NA,27.5,27.5,27.5,123900,NA,NA,NA,NA,NA,NA
"665",997254,332,"Nathan","Kreuger","GEE","FWD",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"666",1013977,338,"Stefan","Okunbor","GEE","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"667",1004948,346,"Cooper","Stephens","GEE","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"668",1008603,349,"Cameron","Taheny","GEE","FWD",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"669",1008436,354,"Kieren","Briggs","GWS","DEF","FWD",11,NA,NA,42,42,42,123900,NA,NA,NA,NA,NA,NA
"670",1014038,355,"Callum M.","Brown","GWS","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"671",993902,366,"Matt","Flynn","GWS","RUC",NA,11,NA,51,89.2857,82.6667,81.4,367700,20240,"MakingTheirMarcus","James",TRUE,"scoring","RUC"
"672",1002296,387,"Nick","Shipley","GWS","MID",NA,11,NA,NA,34,34,34,123900,NA,NA,NA,NA,NA,NA
"673",998225,388,"Zach","Sproule","GWS","FWD",NA,11,NA,32,46.75,51.3333,46.75,185300,NA,NA,NA,NA,NA,NA
"674",1005150,414,"Emerson","Jeka","HAW","FWD",NA,11,NA,NA,28.5,28.5,28.5,123900,NA,NA,NA,NA,NA,NA
"675",1006030,416,"Jacob","Koschitzke","HAW","DEF",NA,11,NA,29,53.4,50.3333,51,270600,NA,NA,NA,NA,NA,NA
"676",1011873,429,"Harry","Pepper","HAW","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"677",1001024,431,"Ned","Reeves","HAW","RUC",NA,11,NA,90,86,86,86,123900,NA,NA,NA,NA,NA,NA
"678",1014081,442,"Austin","Bradtke","MEL","RUC",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"679",1013409,456,"James","Jordon","MEL","MID",NA,11,NA,85,72.2727,76,80.8,369900,NA,NA,NA,NA,NA,NA
"680",1004695,465,"Aaron","Nietschke","MEL","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"681",1015781,485,"Charlie","Comben","NTH","RUC","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"682",1006653,499,"Matt","McGuinness","NTH","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"683",1009191,524,"Miles","Bergman","PTA","FWD",NA,11,NA,14,51.5,44.6667,52.2,259300,NA,NA,NA,NA,NA,NA
"684",1008531,527,"Trent","Burgoyne","PTA","MID","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"685",999320,537,"Martin","Frederick","PTA","DEF",NA,11,NA,NA,48.5,35.3333,48.5,172600,NA,NA,NA,NA,NA,NA
"686",1002248,543,"Sam","Hayes","PTA","RUC",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"687",1005326,554,"Jackson","Mead","PTA","MID",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"688",1009389,556,"Jake","Pasini","PTA","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"689",1009195,561,"Dylan","Williams","PTA","MID","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"690",1008297,575,"Riley","Collier-Dawkins","RIC","MID",NA,11,NA,56,62.6,64.6667,62.6,243100,NA,NA,NA,NA,NA,NA
"691",1009308,577,"Noah","Cumberland","RIC","MID","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"692",1009313,587,"Will","Martyn","RIC","MID",NA,11,NA,NA,27,27,27,123900,NA,NA,NA,NA,NA,NA
"693",1002403,589,"Ben","Miller","RIC","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"694",1006193,592,"Bigoa","Nyuon","RIC","DEF","RUC",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"695",1011985,595,"Hugo","Ralphsmith","RIC","MID","FWD",11,NA,42,32.6667,32.6667,32.6667,134300,NA,NA,NA,NA,NA,NA
"696",1013976,605,"Sam","Alabakis","STK","RUC",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"697",1011994,609,"Ryan","Byrnes","STK","MID",NA,11,NA,73,60,62,60,225200,NA,NA,NA,NA,NA,NA
"698",1002266,613,"Oscar","Clavarino","STK","DEF",NA,11,NA,37,37,37,37,123900,NA,NA,NA,NA,NA,NA
"699",1009228,615,"Leo","Connolly","STK","DEF","MID",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"700",1004113,657,"Will","Gould","SYD","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"701",1019158,674,"Barry","O'Connor","SYD","DEF","FWD",11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"702",1006533,700,"Riley","Garcia","WBD","MID",NA,11,NA,7,7,7,7,123900,NA,NA,NA,NA,NA,NA
"703",998782,708,"Buku","Khamis","WBD","DEF",NA,11,NA,NA,39,39,39,123900,NA,NA,NA,NA,NA,NA
"704",992330,720,"Jordon","Sweet","WBD","RUC",NA,11,NA,39,58.6,56.6667,58.6,226000,NA,NA,NA,NA,NA,NA
"705",1011437,740,"Harry","Edwards","WCE","DEF",NA,11,NA,NA,55,55,55,164100,NA,NA,NA,NA,NA,NA
"706",1011243,746,"Callum","Jamieson","WCE","RUC",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"707",1011464,747,"Ben","Johnson","WCE","DEF",NA,11,NA,NA,0,0,0,123900,NA,NA,NA,NA,NA,NA
"708",1015889,328,"Max","Holmes","GEE","MID","FWD",11,NA,60,56.5,56.5,56.5,121800,NA,NA,NA,NA,NA,NA
"709",1012807,1,"Sam","Berry","ADE","MID",NA,11,NA,42,51.2,52,48.8,240000,NA,NA,NA,NA,NA,NA
"710",1018335,5,"Brayden","Cook","ADE","MID","FWD",11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
"711",999316,33,"James","Rowe","ADE","FWD",NA,11,NA,54,59.8182,68.3333,64.4,307100,NA,NA,NA,NA,NA,NA
"712",1013256,56,"Blake","Coleman","BRL","FWD",NA,11,NA,NA,0,0,0,117300,NA,NA,NA,NA,NA,NA
